codigo,departamento,promedio
66,RISARALDA,327.3805970149254
47,MAGDALENA,331.6507936507937
52,NARIÑO,310.91954022988506
20,CESAR,329.7906976744186
76,VALLE,289.9641207268248
11,BOGOTÁ,335.8900791802515
5,ANTIOQUIA,315.45140388768897
8,ATLANTICO,320.04805914972275
19,CAUCA,301.7825342465753
63,QUINDIO,352.57894736842104
23,CORDOBA,329.4074074074074
68,SANTANDER,376.4516129032258
13,BOLIVAR,343.8154761904762
25,CUNDINAMARCA,327.7546875
17,CALDAS,326.1860465116279
44,LA GUAJIRA,307
