_id,value
VALLE DEL CAUCA,3872
VICHADA,1984
CHOCO,13294
BOYACA,13697
META,18715
CESAR,17163
ARAUCA,47138
HUILA,20498
AMAZONAS,93
SANTANDER,139048
ANTIOQUIA,48984
NARIÑO,52939
CALDAS,9729
LA GUAJIRA,1583
SUCRE,720
GUAINIA,648
BOLIVAR,19425
RISARALDA,4994
CAUCA,7412
CORDOBA,6948
TOLIMA,34192
VAUPES,40
NORTE DE SANTANDER,29236
CUNDINAMARCA,17101
CASANARE,2666
MAGDALENA,5445
CAQUETA,7872
GUAVIARE,2607
QUINDIO,780
PUTUMAYO,13033
